loan_id,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,bank_asset_value,loan_status
1,9600000,29900000,12,778,2400000,8000000, Approved
2,4100000,12200000,8,417,2700000,3300000, Rejected
3,9100000,29700000,20,506,7100000,12800000, Rejected
4,8200000,30700000,8,467,18200000,7900000, Rejected
5,9800000,24200000,20,382,12400000,5000000, Rejected
6,4800000,13500000,10,319,6800000,5100000, Rejected
7,8700000,33000000,4,678,22500000,4300000, Approved
8,5700000,15000000,20,382,13200000,6000000, Rejected
9,800000,2200000,20,782,1300000,600000, Approved
10,1100000,4300000,10,388,3200000,1600000, Rejected
11,2900000,11200000,2,547,8100000,3100000, Approved
12,6700000,22700000,18,538,15300000,6400000, Rejected
13,5000000,11600000,16,311,6400000,4300000, Rejected
14,9100000,31500000,14,679,10800000,5000000, Approved
15,1900000,7400000,6,469,1900000,1900000, Rejected
16,4700000,10700000,10,794,5700000,4400000, Approved
17,500000,1600000,4,663,1300000,700000, Approved
18,2900000,9400000,14,780,2900000,4300000, Approved
19,2700000,10300000,10,736,1000000,3300000, Approved
20,6300000,14600000,12,652,10300000,5900000, Approved
21,5000000,19400000,12,315,9500000,6100000, Rejected
22,5800000,14000000,16,530,3800000,5400000, Rejected
23,6500000,25700000,18,311,13100000,8500000, Rejected
24,500000,1400000,2,551,900000,300000, Approved
25,4900000,9800000,16,324,3800000,3300000, Rejected
26,3100000,9500000,20,514,7900000,2600000, Rejected
27,8200000,28100000,12,696,11500000,7200000, Approved
28,2400000,5600000,4,662,4500000,2500000, Approved
29,7000000,24000000,6,336,2300000,9700000, Rejected
30,9000000,31500000,10,850,21800000,8000000, Approved
31,9800000,25300000,12,313,20200000,9300000, Rejected
32,5700000,12000000,6,363,3600000,4300000, Rejected
33,800000,1600000,10,436,700000,1000000, Rejected
34,8400000,22000000,2,830,3800000,5400000, Approved
35,4900000,11900000,8,612,9700000,5800000, Approved
36,1700000,3400000,8,691,2700000,900000, Approved
37,1600000,6200000,18,636,3400000,1400000, Approved
38,8000000,27200000,6,348,6400000,7100000, Rejected
39,3600000,7700000,16,830,7000000,2900000, Approved
40,1500000,5100000,6,352,100000,900000, Rejected
41,7800000,18100000,2,712,8600000,9000000, Approved
42,9100000,24900000,16,822,22300000,5200000, Approved
43,1400000,3400000,6,540,200000,800000, Rejected
44,800000,2300000,12,342,2200000,800000, Rejected
45,6500000,13400000,18,787,18200000,5400000, Approved
46,8000000,27800000,16,331,13000000,10900000, Rejected
47,4200000,14600000,6,679,2400000,4900000, Approved
48,4900000,19100000,14,677,5400000,6500000, Approved
49,5500000,20500000,12,634,800000,8200000, Approved
50,9500000,19100000,16,662,100000,11700000, Approved
51,7300000,25400000,16,502,500000,10500000, Rejected
52,8700000,24700000,10,435,6800000,11300000, Rejected
53,3800000,7600000,4,689,8700000,3400000, Approved
54,8400000,23000000,12,657,15400000,8200000, Approved
55,5100000,19700000,20,590,7400000,3400000, Approved
56,6700000,24500000,12,818,1200000,6200000, Approved
57,4300000,10600000,18,431,2100000,5200000, Rejected
58,9300000,30500000,18,841,19300000,8700000, Approved
59,7400000,18400000,20,421,18500000,4100000, Rejected
60,5500000,18200000,16,797,-100000,4800000, Approved
61,8500000,18900000,18,478,23800000,11400000, Rejected
62,9600000,30500000,18,669,4700000,9300000, Approved
63,8800000,28900000,6,365,24400000,4700000, Rejected
64,3300000,7500000,20,586,1600000,2900000, Approved
65,3900000,12300000,18,784,7600000,2800000, Approved
66,4100000,10300000,12,364,9500000,2800000, Rejected
67,8300000,29100000,10,715,6100000,11900000, Approved
68,2700000,10100000,20,693,200000,1400000, Rejected
69,5600000,12400000,4,777,5500000,5500000, Approved
70,1900000,5000000,12,312,4000000,2400000, Rejected
71,500000,1500000,20,340,100000,600000, Rejected
72,5300000,18600000,4,386,2700000,4200000, Approved
73,7000000,18300000,4,418,18400000,7600000, Rejected
74,5800000,16700000,16,735,3900000,5600000, Approved
75,2600000,8400000,6,494,6500000,2000000, Rejected
76,1900000,6500000,18,671,600000,1100000, Approved
77,5700000,14800000,16,697,14300000,6300000, Approved
78,9000000,33500000,8,801,11600000,11100000, Approved
79,8500000,29400000,12,576,17600000,9000000, Approved
80,700000,1400000,14,639,1900000,900000, Approved
81,3500000,8900000,4,470,1300000,2000000, Rejected
82,8800000,31200000,4,826,2900000,8600000, Approved
83,9900000,21200000,16,363,25500000,6800000, Rejected
84,3600000,8600000,20,613,9400000,3300000, Approved
85,3000000,8200000,16,713,5300000,3400000, Approved
86,6800000,21200000,16,439,17100000,3600000, Rejected
87,1100000,3800000,18,387,1300000,1600000, Rejected
88,8700000,28300000,8,402,20400000,10200000, Rejected
89,2000000,8000000,6,837,5100000,2900000, Approved
90,9800000,37600000,10,641,24100000,7600000, Approved
91,5700000,21100000,18,489,500000,6000000, Rejected
92,8800000,20700000,18,540,19200000,12700000, Rejected
93,3800000,8900000,4,844,9100000,4700000, Approved
94,1700000,6400000,10,452,900000,2100000, Rejected
95,1000000,2000000,10,366,1200000,1300000, Rejected
96,300000,1100000,2,300,100000,400000, Approved
97,6600000,15000000,18,470,1200000,7000000, Rejected
98,8700000,25000000,20,861,14700000,7300000, Approved
99,9400000,29400000,12,562,25900000,7100000, Approved
100,4400000,10800000,14,463,2400000,4700000, Rejected
101,400000,900000,12,478,700000,100000, Rejected
102,300000,1100000,2,702,300000,200000, Approved
103,4300000,12900000,20,618,11400000,2400000, Approved
104,1600000,4500000,12,633,700000,1900000, Approved
105,6200000,23600000,10,331,18500000,8700000, Rejected
106,4200000,9700000,16,841,7800000,5100000, Approved
107,9000000,18100000,12,764,600000,11600000, Approved
108,2700000,10600000,6,591,1300000,1800000, Approved
109,9700000,35900000,2,719,19600000,10900000, Approved
110,3300000,6800000,14,317,3400000,3600000, Rejected
111,300000,1100000,8,778,800000,100000, Approved
112,7400000,18200000,14,302,5600000,5000000, Rejected
113,7100000,19700000,8,502,7300000,9800000, Rejected
114,7300000,22100000,18,879,19500000,9800000, Approved
115,8400000,23400000,14,437,15400000,8100000, Rejected
116,3300000,10800000,12,797,600000,3300000, Approved
